abatiste;abatites
atribuías;atribuias
aturdes;atudres
aturdido;atudrido
aturdirse;shashearse
aturdiste;atudrites
aturdo;atudro
aturdí;atudri
aturdías;atudrias
até;ati
atómico;atomiko
aullaí;auyai
aumentaste;aumentates
aunaí;aunai
auparás;auparas
aupaí;aupai
autenticaí;autentikai
autentificaí;autentifikai
autoabastecerseá;autoabastesersea
autoabastecerseán;autoabastesersean
autoabastecerseás;autoabasteserseas
autoabastecerseé;autoabastesersee
autoabastecersimos;autoabastesersimos
autoabastecersió;autoabastesersio
autoabastecersí;autoabastesersi
autoabastecersías;autoabastesersias
autobús;otobus
autocar;otobus
autodestruí;autodestrui
autodestruías;autodestruias
autografiaí;autografiai
automóvil;otomobil
auxiliaí;auxiliai
avaluaí;avaluai
avanzé;avanze
aventura;aventuras
avení;aveni
avenías;avenias
avergonzarseás;avergonsarseas
avergonzarsimos;avergonsarsimos
avergonzarsías;avergonsarsias
avergonzaí;avergonzai
averiarse;aharientarse
avezaí;avezai
aviaí;aviai
avisaste;avisates
avispa;bizba
avión;avion
ayuntamienta;munisipalidaa
ayuntamiento;munisipalidad
azada;kavakadura
azafrán;alsafran
azul;blu
azuzaí;azuzai
azúcar;asukar
aña;anya
aña;anyada
añadiste;anyadites
añadías;anyadias
año;anyo
añoranza;eskarinyo
añoraste;anyorates
añoré;anyori
aún;dainda
bachillerata;diplomada
bachillerato;diplomado
bagatela;bavajada
bailarín;baylador
bailaste;bailates
baile;bayle
bajeza;basheza
bajo;bashitiko
bajo;basho
bajo;debasho
balanceas;balanseas
balanceaste;balanseates
balanceo;balanseo
balanceé;balansei
balbucí;balbuci
balbucías;balbucias
baloncesta;basketboa
baloncesto;basketbol
balón;bala
banca;banka
bancario;de banka
banco;banko
banda;orkestra
bandera;bandiera
baquiaí;bakiai
barajaste;barajates
barajé;baraji
baraustaí;baraustai
barbarizaí;barbarizai
barca;vapoa
barco;vapor
base;baza
bastaste;bastates
basté;basti
batalla;batalia
batallón;batalyon
batiste;batites
batías;batias
bañarse;benyarse
bañaste;banyates
baño;banyo
beatificaí;beatifikai
bebe;beve
bebiste;bebites
becaí;bekai
bello;ermozo
beneficencia;bienfezensia
beneficiaste;benefisiates
beneficio;benefisio
beneficié;benefisii
berenjena;berendjena
bicicleta;bisikleta
bicis;bisikletas
bien;bueno
bienquererás;bienkereras
bienquerí;bienkeri
bienquerías;bienkerias
bifurcarseá;bifurkarsea
bifurcarseás;bifurkarseas
bifurcarsimos;bifurkarsimos
bifurcarsí;bifurkarsi
bifurcarsía;bifurkarsia
bifurcarsías;bifurkarsias
bigote;mustacho
billete;bilieto
billetera;portofolia
bisabuela;bizgramama
bisabuelo;bizgranpapa
bistec;biftek
blanco;blanko
bloqueaste;blokeates
bloqueo;blokeo
bloqueé;blokei
bodega;bodrum
bofetón;chaketon
bolsa;chanta
bolsillo;aldikera
bolígrafo;stilo
bombeaste;bombeates
bombeé;bombei
bonito;ermozo
borda;bodra
bordas;bodras
bordaste;bodrates
borde;bodre
bordo;bodro
bordé;bodri
bosfora;bosfoa
bosforo;bosfor
bosque;shara
bostezaí;bostezai
botella;bokal
botija;kantara
botijo;kantaro
bramar;gritar
braza;brasa
brazo;braso
bregaí;bregai
brillaste;briyates
brillo;briyo
brillé;briyi
brincaí;brinkai
brindaste;brindates
brindé;brindi
broma;shaka
bromeaste;bromeates
bromeé;bromei
broncearse;kemarse del sol
bronceas;bronseas
bronceaste;bronseates
bronceo;bronseo
bronceé;bronsei
brutalizaí;brutalizai
bruñí;brunyi
bruñías;brunyias
buceas;buseas
buceaste;buseates
buceo;buseo
buceé;busei
bufanda;kashkol
bufandas;kashkoles
bullí;buyi
bullías;buyias
burlaste;burlates
burlé;burli
burra;azna
burro;azno
butaca;fotolyo
bárbaro;barbaro
bósfora;bosfoa
bósforo;bosfor
búsqueda;bushkida
caba;kava
cabalgaí;kabalgai
caballa;kavaya
caballera;sinyoa
caballero;sinyor
caballo;kavayo
cabella;kaveya
cabello;kaveyo
cabes;kabes
cabeza;kavesa
cabina;kamara
cablegrafiaí;kablegrafiai
cabo;kabo
cabo;kavo
cabí;kabi
cabías;kabias
cada;kada
caducaí;kadukai
café;kafe
cagaí;kagai
caja;kasha
cajón;kashon
calabacín;kalavasa
calaboza;selula
calabozo;selula
calcaí;kalkai
calculaste;kalkulates
calculo;kalkulo
calda;kalda
caldea;kaldea
caldeas;kaldeas
caldeaste;kaldeates
caldeo;kaldeo
caldeé;kaldei
caldo;kaldo
caliente;kayente
calificaste;kalifikaste
calificé;kalifice
callarse;kayarse
callas;kayas
callaste;kayates
calle;kaye
calleja;kaleja
calma;kalma
calmas;kalmas
calmaste;kalmates
calmo;kalmo
calmé;kalmi
calor;kayntor
calvo;kalavasa
calzada;kamino prinsipal
calzaí;kalzai
camarera;garsona
camarero;garson
cambio;kambio
caminaste;kaminates
camino;kamino
camisa;kamiza
campamento;kampo
campana;soneri
campesina;kazalina
campesino;kazalino
campo;terreno
canadiense;de kanada
canalizaí;kanalizai
cancelas;kanselas
cancelaste;kanselates
canción;kantika
canda;kanda
candan;kandan
candas;kandas
candaste;kandates
cando;kando
candé;kandi
cansada;kansada
cansado;kansado
cansancia;kanserya
cansancio;kanserya
canto;kanto
cantor;kantador
caoba;akaju
capacidad;kapachedad
capaz;kapachi
capitulas;kapitulas
capitulaste;kapitulates
capitulo;kapitulo
capitulé;kapituli
captura;kaptura
capturas;kapturas
capturaste;kapturates
capturé;kapturi
cara;kara
caracterizaí;karakterizai
caramelo;bonbon
caramelos;bonbones
carbón;karvon
cardiaco;kardiako
carecí;karesi
carecías;karesias
carga;karga
cargas;kargas
cargaste;kargaste
cargo;kargo
cargé;karge
cariaí;kariai
cariña;karinya
cariño;karinyo
carne;karne
carnicero;kasap
caro;karo
carretera;kamino prinsipal
carro;araba
carroza;karosa
cartera;chanta de ombre
cartera;portofolio
carácter;karakter
casa;kaza
casado;kasado
casados;kasados
casamentera;kazamentera
casarse;cazar
casas;ka<as
cascaí;kaskai
casi;kaji
caso;kavzo
castaña;shatea
castaño;shaten
castañuelas;kasranyetas
castigaí;kastigai
catalizaí;katalizai
catalogaí;katalogai
catar;degustar
catolizaí;katolizai
catorce;katorze
causa;kausa
causas;kausas
causaste;kausates
causé;kausi
cautiva;kautiva
cautivas;kautivas
cautivaste;kautivates
cautivo;kautivo
cautivé;kautivi
cava;kava
cavas;kavas
cavaste;kavates
cavo;kavo
cavé;kavi
caza;kaza
cazas;kazas
cazaste;kazaste
cazo;kazo
cazuela;cacharole
cazé;kaze
cañón;kanon
cebolla;sevoya
cedes;sedes
cediste;sedites
cedéis;sedesh
cedías;sedias
ceja;seja
cela;sela
celebraste;selebrates
celo;selo
cementerio;betahayim
cena;sena
cenas;senas
cenaste;senates
censura;sensura
censuras;sensuras
censuraste;sensurates
censuro;sensuro
censuré;sensuri
centralizaí;sentralizai
centraste;sentrates
centro;sentro
cepillaste;sepiyates
cepillo;sepiyo
cepillé;sepiyi
cera;sera
cerca;serka
cercano;serkano
cercaí;serkai
cerebro;meoyo
cerní;serni
cernías;sernias
cero;sero
cerradura;serradura
certificaí;sertifikai
cerveza;bira
cesas;sesas
cesaste;sesates
cesé;sesi
ceñí;senyi
ceñías;senyias
chal;shal
champiñón;shampinyon
champu;shampuan
chamuscaí;kamuskai
chaqueta;djaketa
charla;karla
charlas;karlas
charlas;karlas
charlaste;karlates
charlo;karlo
charlo;karlo
charlé;karli
chascaí;kaskai
chateaste;kateates
chateo;kateo
chateé;katei
chica;ija
chicas;chikas
chicle;chiklet
chico;ijo
chicos;chikos
china;kineza
chingaí;singai
chino;kinezo
chirriaí;zirriai
chiste;anekdota
chocolate;chicolata
chofer;shofor
choque;shok
chupas;kupas
chupaste;kupates
ciaí;siai
cicatrizaí;sikatrizai
ciego;siego
ciela;syelo
cielo;sielo
cien;sien
ciencia;sensia
ciencia;siensias
ciento;sien
cifra;sifra
cifras;sifras
cifraste;sifrates
cifro;sifro
cifré;sifri
cigarrillo;sigaro
cigüeña;sigonya
cinco;sinko
cincuenta;sinkuenta
cine;sinema
cinematografiaimos;sinematografiaimos
cinematografiaió;sinematografiaio
cinematografiaí;sinematografiai
cinturón;sintura
circulación;sirkulasion
circulaste;zirkulates
circulo;zirkulo
circulé;zirkuli
circunnavegaí;zirkunnavegai
circunstancia;sirkunstansia
circunvenías;zirkunvenias
circuí;zirkui
circuías;zirkuias
cita;sita
citas;sitas
cité;siti
ciudad;sivdad
civil;sivil
clareaste;clareates
clareé;clarei
clarificaí;clarifikai
claro;klaro
clase;leson
clases;lesones
clasificarseá;clasifikarsea
clasificarseán;clasifikarsean
clasificarseás;clasifikarseas
clasificarseé;clasifikarsee
clasificarsimos;clasifikarsimos
clasificarsió;clasifikarsio
clasificarsí;clasifikarsi
clasificarsía;clasifikarsia
clasificarsías;clasifikarsias
clasificaí;clasifikai
cliente;kliente
cloroformizaí;cloroformizai
clásica;klasika
clásico;klasiko
coadquirirás;koadkiriras
coadquirí;koadkiri
cobarde;espantozo
cobras;kobras
cobraste;kobrates
cobro;kobro
coce;kuze
coche;otomobil
cocina;giza
cocí;kosi
cocías;kosias
codificaí;kodifikai
codo;kovdo
cogías;kodjias
cohete;roketa
cohibí;kohibi
coincidiste;koinsidites
coincidías;koinsidias
colaboraste;kolaborates
colaí;kolai
colección;kolecsion
colectividad;kolektividad
colega;kolego
colegí;kolegi
colegías;kolegias
colicuaí;kolikuai
colmado;bakal
colocaí;kolokai
colonia;kolonya
color;kolor
columna;kolona
columpiarse;kunarse
columpio;kuna
comandante;komandante
combate;kombate
combates;kombates
combinación;kombinasion
comedia;komedia
comerciante;komersante
comestible;de komer
comida;komida
comienzo;empesijo
comiscaí;komiskai
como;komo
compadecí;kompadesi
compadecías;kompadesias
comparecí;komparesi
comparecías;komparesias
compañera;kompanyera
compañero;kompanyero
competitivo;kompetitivo
competí;kompeti
competías;kompetias
complací;komplasi
complacías;komplasias
completa;kompleta
completamente;kompletamente
completas;kompletas
completo;kompleto
completos;kompletos
componí;komponi
componías;komponias
compra;kompra
compras;kompras
compras;merkaras
compromiso;espozorio
compuesto;kompuesto
comulgaí;komulgai
comunicaste;komunikaste
comunicé;komunice
con;kon
concebí;konsebi
concebías;konsebias
conceptualizaí;konseptualizai
conceptuaí;konseptuai
concerní;konserni
concernías;konsernias
concertaí;konsertai
conciencia;konsensya
concierto;konserto
conciertos;konsertos
conclusión;konkluzion
concluías;koncluias
concordaí;konkodrai
condecí;kondeci
condecías;kondecias
condenación;kondanasion
condenas;kondenas
condición;kondision
condolerseá;kondolersea
condolerseán;kondolersean
condolerseás;kondolerseas
condolerseé;kondolersee
condolersimos;kondolersimos
condolersió;kondolersio
condolersí;kondolersi
condolersía;kondolersia
condolersías;kondolersias
conduco;konduko
conducta;kondukta
conductor;konduktor
conducí;konduci
conducías;konducias
conferí;konferi
conferías;konferias
confesaí;konfesai
confianza;konfiensa
confiaste;konfiaste
confidencia;konfidensia
confiscaí;konfiskai
confluí;konflui
confluías;konfluias
confuso;konfuzo
confín;punta
congelador;conjelador
congresa;kongresa
congreso;kongreso
conmigo;kon mi
conmoví;konmovi
conmovías;konmovias
conocido;konosido
conoco;konoko
consecuencia;konsekuensa
conseguías;konsegias
consentes;konsentes
consento;konsento
consentí;konsenti
consentías;konsentias
considerarse;konsiderarse
consiguiente;konsekuensa
consola;konsola
consolas;konsolas
consolaste;konsolaste
consolo;konsolo
consolé;konsole
consonante;konsonante
constante;konstante
consternación;konsternasion
constituí;konstitui
constituías;konstituias
constreñí;konstrenyi
constreñías;konstrenyias
consuelo;konsolasion
consulado;konsolato
conta;konta
contan;kontan
contendí;kontendi
contendías;kontendias
contene;kontene
contenerse;kontenerse
contenes;kontenes
conteno;konteno
contento;kontente
contento;orozo
contení;konteni
contenías;kontenias
contexta;konteksta
contexto;konteksto
contextualizaí;kontextualizai
contigo;kon ti
continua;kontinua
continuado;kontinuado
continuas;kontinuas
continuaste;kontinuaste
continuidad;kontinuidad
continuo;kontinuo
contra;kontra
contraatacaí;kontraatakai
contradecí;kontradeci
contradecías;kontradecias
contrahací;kontraasi
contrahacías;kontraasias
contraponí;kontraponi
contraponías;kontraponias
contrariaí;kontrariai
contrario;kontrario
contravení;kontraveni
contravenías;kontravenias
contraí;kontrai
contribución;kontribusyon
contribuí;kontribui
controvertías;kontrovertias
convenco;konvenko
convencías;konvencias
convení;konveni
convenías;konvenias
convergí;konvergi
convergías;konvergias
convertirseás;konvertirseas
convertirsimos;konvertirsimos
convertirsías;konvertirsias
convertías;konvertias
copa;kupa
copia;kopya
coproducí;koproduci
coproducías;koproducias
cora;kora
coraje;koraje
corazon;korason
corazón;korason
corbata;kravata
cordero;kodrero
coro;koro
corral;kortijo
correa;posta
correctamente;korektamente
correo;posta
corrida;korrida
corriente;korriente
corroerás;korroeras
corroí;korroi
corroías;korroias
corrugaí;korrugai
corte;korte
cortesía;politeza
cortina;kortina
corto;kurto
cosa;koza
cosquillas;koshkiyas
costa;kosta
costas;kostas
costaste;kostaste
costo;kosto
costé;koste
cotidiano;kotidiano
cotizaí;kotizai
creces;kreses
creco;kreko
crecías;krecias
criada;mosa
criatura;kriatura
criaí;kriai
crimen;krimen
crisis;kriza
cristal;vidro
cristalizaí;kristalizai
criteria;kritea
criterio;kriter
criticaí;kritikai
crucificaí;krusifikai
cruzada;kruzada
cría;krioa
crío;krio
cuaderno;tefter
cuadra;kuadra
cuadro;kuadro
cuadruplicaí;kuadruplikai
cual;kualo
cualidad;kualidad
cualificaí;kualifikai
cualquier;kualkier
cuando;kuando
cuenta;kuenta
cuantos;kuantos
cuarenta;kuarenta
cuarto;kuarto
cuatro;kuatro
cuatrocientos;kuatroshentos
cubicaí;kubikai
cuchilla;kuchiya
cuchillo;kuchiyo
cuello;garganta
cuerda;kuedra
cuerpa;puerpa
cuerpo;puerpo
cuestión;kestion
cuidado;atension
cuidadosamente;kon atansion
culiaí;kuliai
culpa;kulpa
cultivado;kultivado
cultura;kultura
cumpleaño;aniversaryo
cumpleaños;aniversaryo
cuna;kuna
curarse;sanarse
curiosamente;kuriozamente
curiosidad;kuriozita
curioso;kuriozo
curso;korso
curva;viraje
cuyo;ke tiene
cálcula;kalkola
cálculo;kalkolo
cáliz;chanaka
cédula;dokumento
césped;yerva
cíne;sinema
código;kodo
cónsul;konsul
daños;danyos
debajo;debasho
debemos;devemos
deber;dever
decaí;dekai
deceder;murir
decidirse;dechidirse
decisión;dechizion
decodificaí;dekodifikai
decorado;dekor
decrecí;dekresi
dedicarse;dedikarse
dedicarseá;dedikarsea
dedicarseás;dedikarseas
dedicaí;dedikai
deducí;deduci
deducías;deducias
defecaí;defekai
defendías;defendias
degustas;degstas
degustaste;degstates
degusto;degsto
degusté;degsti
del;de la
delante;delantre
delegé;delege
delgado;flako
deliciosa;savroza
deliciosas;savrozas
delinquí;delinki
delinquías;delinkias
demasiado;demaziado
democracia;demokrasia
demolerás;demoleras
demolí;demoli
demolías;demolias
demás;otros
denigraste;denigrates
denigré;denigri
dentista;dientisto
dentro;ariento
dependiste;dependites
dependéis;dependesh
dependí;dependi
dependías;dependias
deploraste;deplorates
deploré;deplori
deponerás;deponeras
deponí;deponi
deporte;espor
depositaste;depositates
deprimiste;deprimites
deprimí;deprimi
deprimías;deprimias
derelinquí;derelinki
derelinquías;derelinkias
derogaí;derogai
derretí;derreti
derretías;derretias
derribaste;derribates
derribé;derribi
derrocaí;derrokai
desacertaí;desasertai
desaconsejas;desakonsejas
desaconsejaste;desakonsejates
desaconsejé;desakonseji
desafiaí;desafiai
desafinaste;desafinates
desafiné;desafini
desagradecí;desagradesi
desagradecías;desagradesias
desaguaí;desagai
desahogaí;desaogai
desandaí;desandai
desaparecías;desaparesias
desaprensión;deskudio
desarrollaste;desarroyates
desarrollo;desarroyo
desasirás;desasiras
desasí;desasi
desasías;desasias
desataste;desatates
desatendías;desatendias
desaté;desati
desautorizaí;desautorizai
desayunaste;desayunates
desbarahustaí;desbaraustai
desbruaí;desbruai
descalzaí;deskalzai
descansaste;deskansates
descanso;deskanso
descarado;deskarado
descarriaí;deskarriai
descarrilas;deskarrilas
descarrilaste;deskarrilates
descarrilo;deskarrilo
descarrilé;deskarrili
descendí;dessendi
descendías;dessendias
descentralizaí;dessentralizai
descolgaí;deskolgai
descollaí;deskoyai
descomponí;deskomponi
descomponías;deskomponias
desconcertaí;deskonsertai
desconcierto;konfuzion
desconectaste;deskonektates
desconfianza;deskonfiensa
desconfiaí;deskonfiai
descongelas;deskondjelas
descongelaste;deskondjelates
descongelo;deskondjelo
descongelé;deskondjeli
desconocí;deskonosi
descontaí;deskontai
descripción;deskripsion
descuidado;deskudiado
desdecí;desdeci
desdecías;desdecias
desdén;desdenio
desempacaí;desempakai
desensibilizaí;desensibilizai
desentenderseá;desentendersea
desentenderseás;desentenderseas
desentendersías;desentendersias
desenterraí;desenterrai
desentumecías;desentumesias
desenvolvías;desenvolvias
desesperarse;dezesperarse
desfallecí;desfayesi
desfallecías;desfayesias
desfavorecí;desfavoresi
desfavorecías;desfavoresias
desfile;defile
desforzaí;desforzai
desgracia;desgrasia
desgracia;manziya
desgraciadamente;malorozamente
desgraciado;povereto
deshací;desasi
deshacías;desasias
deshelaí;deselai
desierta;dezierta
desierto;dezierto
desintoxicaimos;desintoxikaimos
desintoxicaí;desintoxikai
deslenguarseá;deslengarsea
deslenguarseás;deslengarseas
deslenguarseé;deslengarsee
deslenguarsimos;deslengarsimos
deslenguarsió;deslengarsio
deslenguarsí;deslengarsi
deslenguarsías;deslengarsias
desligaí;desligai
deslizaí;deslizai
deslucí;desluci
deslucías;deslucias
deslí;desli
deslías;deslias
deslírás;desliras
desmembraí;desmembrai
desmentí;desmenti
desmentías;desmentias
desmerecí;desmeresi
desmerecías;desmeresias
desmitificaí;desmitifikai
desnaturalizaí;desnaturalizai
desnudabas;desnudavas
desnudaste;desnudates
desobedecí;desobedesi
desobedecías;desobedesias
desolaí;desolai
desosaí;desosai
despacho;büro
despacio;avagar
despedirseás;despedirseas
despedirsías;despedirsias
despedías;despedias
desperezarseás;desperesarseas
desperezarsías;desperesarsias
despertarse;espertarse
despezaí;despezai
despistado;distraido
desplazaí;desplazai
desplegaí;desplegai
después;despues
destacaí;destakai
desterraí;desterrai
desteñí;destenyi
desteñías;destenyias
destinaste;destinates
destiné;destini
destituí;destitui
destituías;destituias
destocaí;destokai
destruí;destrui
destruías;destruias
desvanecías;desvanesias
desvaí;desvai
desvergonzarseán;desvergonsarsean
desvergonzarseás;desvergonsarseas
desvergonzarseé;desvergonsarsee
desvergonzarsimos;desvergonsarsimos
desvergonzarsí;desvergonsarsi
desvergonzarsía;desvergonsarsia
desvergonzarsías;desvergonsarsias
desvergonzaí;desvergonzai
desvestí;desvesti
desvestías;desvestias
desviaí;desviai
desvirtuaí;desvirtuai
detalle;detalyo
detectaste;detektates
detenerseás;detenerseas
detenersías;detenersias
detení;deteni
detergí;deterdji
detergías;deterdjias
deterioraste;deteriorates
determinaste;determinates
determiné;determini
devaluaí;devaluai
devení;deveni
devolvías;devolvias
devoraste;devorates
diabla;diavla
diablo;diavlo
diagnosticaí;diagnostikai
diagonalizaí;diagonalizai
dichos;dichas
diciembre;desiembre
dictas;diktas
dictaste;diktates
dicté;dikti
diecinueve;dizimueve
dieciocho;diziocho
diecisiete;disiete
dieciséis;disesh
diferencia;diferensia
diferencias;diferensias
diferenciaste;diferensiates
diferencié;diferensii
