abalanzar;ekilibrar
acaeciste;akaesiste
acaeció;akaesio
acaecí;akaesi
acaecía;akaesia
acaecíamos;akaesiamos
acaecían;akaesian
acaecías;akaesias
acariciar;karesar
accidente;aksidente
acción;aksion
aceite;azete
acensuaieron;asensuaieron
acensuaimos;asensuaimos
acensuaiste;asensuaiste
acensuaió;asensuaio
acensuaremos;asensuaremos
acensuará;asensuara
acensuarán;asensuaran
acensuarás;asensuaras
acensuaré;asensuare
acensuaí;asensuai
acensuaía;asensuaia
acensuaíamos;asensuaiamos
acensuaían;asensuaian
acensuaías;asensuaias
acento;aksan
acentuación;aksantuasion
acentuar;aksantuar
aceptar;akseptar
acerca;aserka
acercaba;aserkaba
acercaban;aserkaban
acercabas;aserkabas
acercamos;aserkamos
acercan;aserkan
acercar;aserkar
acercaremos;aserkaremos
acercarieron;aserkarieron
acercarimos;aserkarimos
acercariste;aserkariste
acercarió;aserkario
acercaron;aserkaron
acercarse;aserkarse
acercarseemos;aserkarseemos
acercarseá;aserkarsea
acercarseán;aserkarsean
acercarseás;aserkarseas
acercarseé;aserkarsee
acercará;aserkara
acercarán;aserkaran
acercarás;aserkaras
acercaré;aserkare
acercarí;aserkari
acercaría;aserkaria
acercaríamos;aserkariamos
acercarían;aserkarian
acercarías;aserkarias
acercas;aserkas
acercaste;aserkaste
acerco;aserko
acercábamos;asercabamos
acercé;aserce
acercó;aserco
acertaieron;asertaieron
acertaimos;asertaimos
acertaiste;asertaiste
acertaió;asertaio
acertaremos;asertaremos
acertará;asertara
acertarán;asertaran
acertarás;asertaras
acertaré;asertare
acertaí;asertai
acertaía;asertaia
acertaíamos;asertaiamos
acertaían;asertaian
acertaías;asertaias
achacaieron;akakaieron
achacaimos;akakaimos
achacaiste;akakaiste
achacaió;akakaio
achacaremos;akakaremos
achacará;akakara
achacarán;akakaran
achacarás;akakaras
achacaré;akakare
achacaí;akakai
achacaía;akakaia
achacaíamos;akakaiamos
achacaían;akakaian
achacaías;akakaias
achaque;desrepozo
achicaieron;asikaieron
achicaimos;asikaimos
achicaiste;asikaiste
achicaió;asikaio
achicaremos;asikaremos
achicarseemos;asikarseemos
achicarseá;asikarsea
achicarseán;asikarsean
achicarseás;asikarseas
achicarseé;asikarsee
achicarsieron;asikarsieron
achicarsimos;asikarsimos
achicarsiste;asikarsiste
achicarsió;asikarsio
achicarsí;asikarsi
achicarsía;asikarsia
achicarsíamos;asikarsiamos
achicarsían;asikarsian
achicarsías;asikarsias
achicará;asikara
achicarán;asikaran
achicarás;asikaras
achicaré;asikare
achicaí;asikai
achicaía;asikaia
achicaíamos;asikaiamos
achicaían;asikaian
achicaías;asikaias
acidificaieron;asidifikaieron
acidificaimos;asidifikaimos
acidificaiste;asidifikaiste
acidificaió;asidifikaio
acidificaremos;asidifikaremos
acidificará;asidifikara
acidificarán;asidifikaran
acidificarás;asidifikaras
acidificaré;asidifikare
acidificaí;asidifikai
acidificaía;asidifikaia
acidificaíamos;asidifikaiamos
acidificaían;asidifikaian
acidificaías;asidifikaias
acogeremos;akodjeremos
acogerá;akodjera
acogerán;akodjeran
acogerás;akodjeras
acogeré;akodjere
acogieron;akodjieron
acogimos;akodjimos
acogiste;akodjiste
acogió;akodjio
acogí;akodji
acogía;akodjia
acogíamos;akodjiamos
acogían;akodjian
acogías;akodjias
acomodar;akomodar
acompaña;akompanya
acompañar;akompanyar
aconsejar;konsejar
aconteceremos;akonteseremos
acontecerá;akontesera
acontecerán;akonteseran
acontecerás;akonteseras
aconteceré;akontesere
acontecieron;akontesieron
acontecimos;akontesimos
aconteciste;akontesiste
aconteció;akontesio
acontecí;akontesi
acontecía;akontesia
acontecíamos;akontesiamos
acontecían;akontesian
acontecías;akontesias
acorazaieron;akorazaieron
acorazaimos;akorazaimos
acorazaiste;akorazaiste
acorazaió;akorazaio
acorazaremos;akorasaremos
acorazará;akorasara
acorazarán;akorasaran
acorazarás;akorasaras
acorazaré;akorasare
acorazaí;akorazai
acorazaía;akorazaia
acorazaíamos;akorazaiamos
acorazaían;akorazaian
acorazaías;akorazaias
acorda;akodra
acordaba;akodraba
acordaban;akodraban
acordabas;akodrabas
acordamos;akodramos
acordan;akodran
acordar;akordar
acordaremos;akodraremos
acordaron;akodraron
acordarse;akordarse
acordará;akodrara
acordarán;akodraran
acordarás;akodraras
acordaré;akodrare
acordas;akodras
acordaste;akodraste
acordo;akodro
acordábamos;akodrabamos
acordé;akodre
acordó;akodro
acostaieron;akostaieron
acostaimos;akostaimos
acostaiste;akostaiste
acostaió;akostaio
acostaremos;akostaremos
acostarse;echarse
acostará;akostara
acostarán;akostaran
acostarás;akostaras
acostaré;akostare
acostaí;akostai
acostaía;akostaia
acostaíamos;akostaiamos
acostaían;akostaian
acostaías;akostaias
acostumbrado;alishtereado
acostumbrar;akostumbrar
acrecentaieron;akresentaieron
acrecentaimos;akresentaimos
acrecentaiste;akresentaiste
acrecentaió;akresentaio
acrecentaremos;akresentaremos
acrecentará;akresentara
acrecentarán;akresentaran
acrecentarás;akresentaras
acrecentaré;akresentare
acrecentaí;akresentai
acrecentaía;akresentaia
acrecentaíamos;akresentaiamos
acrecentaían;akresentaian
acrecentaías;akresentaias
acta;akta
acto;akto
actor;aktor
actriz;aktrisa
actua;aktua
actuaba;aktuaba
actuaban;aktuaban
actuabas;aktuabas
actual;aktual
actualizaieron;aktualizaieron
actualizaimos;aktualizaimos
actualizaiste;aktualizaiste
actualizaió;aktualizaio
actualizaremos;aktualisaremos
actualizará;aktualisara
actualizarán;aktualisaran
actualizarás;aktualisaras
actualizaré;aktualisare
actualizaí;aktualizai
actualizaía;aktualizaia
actualizaíamos;aktualizaiamos
actualizaían;aktualizaian
actualizaías;aktualizaias
actuamos;aktuamos
actuan;aktuan
actuar;aktuar
actuaremos;aktuaremos
actuaron;aktuaron
actuará;aktuara
actuarán;aktuaran
actuarás;aktuaras
actuaré;aktuare
actuas;aktuas
actuaste;aktuaste
actuo;aktuo
actuábamos;aktuabamos
actué;aktue
actuó;aktuo
acuantiaieron;akuantiaieron
acuantiaimos;akuantiaimos
acuantiaiste;akuantiaiste
acuantiaió;akuantiaio
acuantiaremos;akuantiaremos
acuantiará;akuantiara
acuantiarán;akuantiaran
acuantiarás;akuantiaras
acuantiaré;akuantiare
acuantiaí;akuantiai
acuantiaía;akuantiaia
acuantiaíamos;akuantiaiamos
acuantiaían;akuantiaian
acuantiaías;akuantiaias
acuerdo;akordo
acurrucaieron;akurrukaieron
acurrucaimos;akurrukaimos
acurrucaiste;akurrukaiste
acurrucaió;akurrukaio
acurrucaremos;akurrukaremos
acurrucarseemos;akurrukarseemos
acurrucarseá;akurrukarsea
acurrucarseán;akurrukarsean
acurrucarseás;akurrukarseas
acurrucarseé;akurrukarsee
acurrucarsieron;akurrukarsieron
acurrucarsimos;akurrukarsimos
acurrucarsiste;akurrukarsiste
acurrucarsió;akurrukarsio
acurrucarsí;akurrukarsi
acurrucarsía;akurrukarsia
acurrucarsíamos;akurrukarsiamos
acurrucarsían;akurrukarsian
acurrucarsías;akurrukarsias
acurrucará;akurrukara
acurrucarán;akurrukaran
acurrucarás;akurrukaras
acurrucaré;akurrukare
acurrucaí;akurrukai
acurrucaía;akurrukaia
acurrucaíamos;akurrukaiamos
acurrucaían;akurrukaian
acurrucaías;akurrukaias
adaguaieron;adagaieron
adaguaimos;adagaimos
adaguaiste;adagaiste
adaguaió;adagaio
adaguaremos;adagaremos
adaguará;adagara
adaguarán;adagaran
adaguarás;adagaras
adaguaré;adagare
adaguaí;adagai
adaguaía;adagaia
adaguaíamos;adagaiamos
adaguaían;adagaian
adaguaías;adagaias
adecuaieron;adekuaieron
adecuaimos;adekuaimos
adecuaiste;adekuaiste
adecuaió;adekuaio
adecuaremos;adekuaremos
adecuará;adekuara
adecuarán;adekuaran
adecuarás;adekuaras
adecuaré;adekuare
adecuaí;adekuai
adecuaía;adekuaia
adecuaíamos;adekuaiamos
adecuaían;adekuaian
adecuaías;adekuaias
adelantar;adelantar
adelante;adelantre
adelgazaieron;adelgazaieron
adelgazaimos;adelgazaimos
adelgazaiste;adelgazaiste
adelgazaió;adelgazaio
adelgazaremos;adelgasaremos
adelgazarseemos;adelgasarseemos
adelgazarseá;adelgasarsea
adelgazarseán;adelgasarsean
adelgazarseás;adelgasarseas
adelgazarseé;adelgasarsee
adelgazarsieron;adelgasarsieron
adelgazarsimos;adelgasarsimos
adelgazarsiste;adelgasarsiste
adelgazarsió;adelgasarsio
adelgazarsí;adelgasarsi
adelgazarsía;adelgasarsia
adelgazarsíamos;adelgasarsiamos
adelgazarsían;adelgasarsian
adelgazarsías;adelgasarsias
adelgazará;adelgasara
adelgazarán;adelgasaran
adelgazarás;adelgasaras
adelgazaré;adelgasare
adelgazaí;adelgazai
adelgazaía;adelgazaia
adelgazaíamos;adelgazaiamos
adelgazaían;adelgazaian
adelgazaías;adelgazaias
además;indemas
aderezaieron;aderezaieron
aderezaimos;aderezaimos
aderezaiste;aderezaiste
aderezaió;aderezaio
aderezaremos;aderesaremos
aderezará;aderesara
aderezarán;aderesaran
aderezarás;aderesaras
aderezaré;aderesare
aderezaí;aderezai
aderezaía;aderezaia
aderezaíamos;aderezaiamos
aderezaían;aderezaian
aderezaías;aderezaias
adherieron;aderieron
adherimos;aderimos
adheriremos;aderiremos
adherirá;aderira
adherirán;aderiran
adherirás;aderiras
adheriré;aderire
adheriste;aderiste
adherió;aderio
adherí;aderi
adhería;aderia
adheríamos;aderiamos
adherían;aderian
adherías;aderias
adjetivo;ajektivo
adjudicaieron;adjudikaieron
adjudicaimos;adjudikaimos
adjudicaiste;adjudikaiste
adjudicaió;adjudikaio
adjudicaremos;adjudikaremos
adjudicará;adjudikara
adjudicarán;adjudikaran
adjudicarás;adjudikaras
adjudicaré;adjudikare
adjudicaí;adjudikai
adjudicaía;adjudikaia
adjudicaíamos;adjudikaiamos
adjudicaían;adjudikaian
adjudicaías;adjudikaias
administrar;administrar
admiración;admirasion
admirar;admirar
adoleceremos;adoleseremos
adolecerá;adolesera
adolecerán;adoleseran
adolecerás;adoleseras
adoleceré;adolesere
adolecieron;adolesieron
adolecimos;adolesimos
adoleciste;adolesiste
adoleció;adolesio
adolecí;adolesi
adolecía;adolesia
adolecíamos;adolesiamos
adolecían;adolesian
adolecías;adolesias
adolescencia;adolesensia
adonde;ande
adormeceremos;adormeseremos
adormecerá;adormesera
adormecerán;adormeseran
adormecerás;adormeseras
adormeceré;adormesere
adormecieron;adormesieron
adormecimos;adormesimos
adormeciste;adormesiste
adormeció;adormesio
adormecí;adormesi
adormecía;adormesia
adormecíamos;adormesiamos
adormecían;adormesian
adormecías;adormesias
adquirieron;adkirieron
adquirimos;adkirimos
adquiriremos;adkiriremos
adquirirá;adkirira
adquirirán;adkiriran
adquirirás;adkiriras
adquiriré;adkirire
adquiriste;adkiriste
adquirió;adkirio
adquirí;adkiri
adquiría;adkiria
adquiríamos;adkiriamos
adquirían;adkirian
adquirías;adkirias
aducieron;adusieron
aducimos;adusimos
aduciremos;aduziremos
aducirá;aduzira
aducirán;aduziran
aducirás;aduziras
aduciré;aduzire
aduciste;adusiste
adució;adusio
aducí;aduci
aducía;aducia
aducíamos;aduciamos
aducían;aducian
aducías;aducias
advenieron;advenieron
advenimos;advenimos
adveniremos;adveniremos
advenirá;advenira
advenirán;adveniran
advenirás;adveniras
adveniré;advenire
adveniste;adveniste
advenió;advenio
advení;adveni
advenía;advenia
adveníamos;adveniamos
advenían;advenian
advenías;advenias
advertir;avertir
afeitarse;araparse
aferraieron;aferraieron
aferraimos;aferraimos
aferraiste;aferraiste
aferraió;aferraio
aferraremos;aferraremos
aferrará;aferrara
aferrarán;aferraran
aferrarás;aferraras
aferraré;aferrare
aferraí;aferrai
aferraía;aferraia
aferraíamos;aferraiamos
aferraían;aferraian
aferraías;aferraias
afianzaieron;afianzaieron
afianzaimos;afianzaimos
afianzaiste;afianzaiste
afianzaió;afianzaio
afianzaremos;afiansaremos
afianzará;afiansara
afianzarán;afiansaran
afianzarás;afiansaras
afianzaré;afiansare
afianzaí;afianzai
afianzaía;afianzaia
afianzaíamos;afianzaiamos
afianzaían;afianzaian
afianzaías;afianzaias
aficionado;aferrado 
aficionados;amatores
aficiones;hobis
afición;hobi
afilado;aguzado
afilador;aguzador
afilar;aguzar
afiliaieron;afiliaieron
afiliaimos;afiliaimos
afiliaiste;afiliaiste
afiliaió;afiliaio
afiliaremos;afiliaremos
afiliará;afiliara
afiliarán;afiliaran
afiliarás;afiliaras
afiliaré;afiliare
afiliaí;afiliai
afiliaía;afiliaia
afiliaíamos;afiliaiamos
afiliaían;afiliaian
afiliaías;afiliaias
afincaieron;afinkaieron
afincaimos;afinkaimos
afincaiste;afinkaiste
afincaió;afinkaio
afincaremos;afinkaremos
afincará;afinkara
afincarán;afinkaran
afincarás;afinkaras
afincaré;afinkare
afincaí;afinkai
afincaía;afinkaia
afincaíamos;afinkaiamos
afincaían;afinkaian
afincaías;afinkaias
afligido;abatido 
afligir;aflijar
afligirse;aflijarse; tener pena
afluieron;afluieron
afluimos;afluimos
afluiremos;afluiremos
afluirá;afluira
afluirán;afluiran
afluirás;afluiras
afluiré;afluire
afluiste;afluiste
afluió;afluio
afluí;aflui
afluía;afluia
afluíamos;afluiamos
afluían;afluian
afluías;afluias
afortunado;mazalozo 
agachado;achunkado
agencia;adjensia
agilizaieron;adjilizaieron
agilizaimos;adjilizaimos
agilizaiste;adjilizaiste
agilizaió;adjilizaio
agilizaremos;adjilisaremos
agilizará;adjilisara
agilizarán;adjilisaran
agilizarás;adjilisaras
agilizaré;adjilisare
agilizaí;adjilizai
agilizaía;adjilizaia
agilizaíamos;adjilizaiamos
agilizaían;adjilizaian
agilizaías;adjilizaias
agobiar;oprimir
agonizaieron;agonizaieron
agonizaimos;agonizaimos
agonizaiste;agonizaiste
agonizaió;agonizaio
agonizaremos;agonisaremos
agonizará;agonisara
agonizarán;agonisaran
agonizarás;agonisaras
agonizaré;agonisare
agonizaí;agonizai
agonizaía;agonizaia
agonizaíamos;agonizaiamos
agonizaían;agonizaian
agonizaías;agonizaias
agoraieron;agoraieron
agoraimos;agoraimos
agoraiste;agoraiste
agoraió;agoraio
agoraremos;agoraremos
agorará;agorara
agorarán;agoraran
agorarás;agoraras
agoraré;agorare
agoraí;agorai
agoraía;agoraia
agoraíamos;agoraiamos
agoraían;agoraian
agoraías;agoraias
agradece;agradese
agradecemos;agradesemos
agradecen;agradesen
agradecer;agradeser
agradeceremos;agradeseremos
agradecerá;agradesera
agradecerán;agradeseran
agradecerás;agradeseras
agradeceré;agradesere
agradeces;agradeses
agradecieron;agradesieron
agradecimiento;agradesimiento
agradecimos;agradesimos
agradeciste;agradesiste
agradeció;agradesio
agradeco;agradeko
agradecí;agradeci
agradecía;agradecia
agradecíamos;agradeciamos
agradecían;agradecian
agradecías;agradecias
agraviaieron;agraviaieron
agraviaimos;agraviaimos
agraviaiste;agraviaiste
agraviaió;agraviaio
agraviaremos;agraviaremos
agraviará;agraviara
agraviarán;agraviaran
agraviarás;agraviaras
agraviaré;agraviare
agraviaí;agraviai
agraviaía;agraviaia
agraviaíamos;agraviaiamos
agraviaían;agraviaian
agraviaías;agraviaias
agredieron;agredieron
agredimos;agredimos
agrediremos;agrediremos
agredirá;agredira
agredirán;agrediran
agredirás;agrediras
agrediré;agredire
agrediste;agrediste
agredió;agredio
agredí;agredi
agredía;agredia
agredíamos;agrediamos
agredían;agredian
agredías;agredias
agregaieron;agregaieron
agregaimos;agregaimos
agregaiste;agregaiste
agregaió;agregaio
agregaremos;agregaremos
agregará;agregara
agregarán;agregaran
agregarás;agregaras
agregaré;agregare
agregaí;agregai
agregaía;agregaia
agregaíamos;agregaiamos
agregaían;agregaian
agregaías;agregaias
agriaieron;agriaieron
agriaimos;agriaimos
agriaiste;agriaiste
agriaió;agriaio
agriaremos;agriaremos
agriará;agriara
agriarán;agriaran
agriarás;agriaras
agriaré;agriare
agriaí;agriai
agriaía;agriaia
agriaíamos;agriaiamos
agriaían;agriaian
agriaías;agriaias
agua;agua
aguaieron;agaieron
aguaimos;agaimos
aguaiste;agaiste
aguaió;agaio
aguaremos;agaremos
aguará;agara
aguarán;agaran
aguarás;agaras
aguaré;agare
aguaí;agai
aguaía;agaia
aguaíamos;agaiamos
aguaían;agaian
aguaías;agaias
agudizaieron;agdizaieron
agudizaimos;agdizaimos
agudizaiste;agdizaiste
agudizaió;agdizaio
agudizaremos;agdisaremos
agudizará;agdisara
agudizarán;agdisaran
agudizarás;agdisaras
agudizaré;agdisare
agudizaí;agdizai
agudizaía;agdizaia
agudizaíamos;agdizaiamos
agudizaían;agdizaian
agudizaías;agdizaias
agujerita;burakito de alguja
agujerito;burakito de alguja
aguzaieron;agzaieron
aguzaimos;agzaimos
aguzaiste;agzaiste
aguzaió;agzaio
aguzaremos;agsaremos
aguzará;agsara
aguzarán;agsaran
aguzarás;agsaras
aguzaré;agsare
aguzaí;agzai
aguzaía;agzaia
aguzaíamos;agzaiamos
aguzaían;agzaian
aguzaías;agzaias
ahijaieron;aijaieron
ahijaimos;aijaimos
ahijaiste;aijaiste
ahijaió;aijaio
ahijaremos;aijaremos
ahijará;aijara
ahijarán;aijaran
ahijarás;aijaras
ahijaré;aijare
ahijaí;aijai
ahijaía;aijaia
ahijaíamos;aijaiamos
ahijaían;aijaian
ahijaías;aijaias
ahilaieron;ailaieron
ahilaimos;ailaimos
ahilaiste;ailaiste
ahilaió;ailaio
ahilaremos;ailaremos
ahilará;ailara
ahilarán;ailaran
ahilarás;ailaras
ahilaré;ailare
ahilaí;ailai
ahilaía;ailaia
ahilaíamos;ailaiamos
ahilaían;ailaian
ahilaías;ailaias
ahincaieron;ainkaieron
ahincaimos;ainkaimos
ahincaiste;ainkaiste
ahincaió;ainkaio
ahincaremos;ainkaremos
ahincará;ainkara
ahincarán;ainkaran
ahincarás;ainkaras
ahincaré;ainkare
ahincaí;ainkai
ahincaía;ainkaia
ahincaíamos;ainkaiamos
ahincaían;ainkaian
ahincaías;ainkaias
ahitaieron;aitaieron
ahitaimos;aitaimos
ahitaiste;aitaiste
ahitaió;aitaio
ahitaremos;aitaremos
ahitará;aitara
ahitarán;aitaran
ahitarás;aitaras
ahitaré;aitare
ahitaí;aitai
ahitaía;aitaia
ahitaíamos;aitaiamos
ahitaían;aitaian
ahitaías;aitaias
ahogaieron;aogaieron
ahogaimos;aogaimos
ahogaiste;aogaiste
ahogaió;aogaio
ahogaremos;aogaremos
ahogará;aogara
ahogarán;aogaran
ahogarás;aogaras
ahogaré;aogare
ahogaí;aogai
ahogaía;aogaia
ahogaíamos;aogaiamos
ahogaían;aogaian
ahogaías;aogaias
ahora;agora
ahorcar;pender
ahorrar;ekonomizar
ahuchaieron;ahukaieron
ahuchaimos;ahukaimos
ahuchaiste;ahukaiste
ahuchaió;ahukaio
ahucharemos;ahukaremos
ahuchará;ahukara
ahucharán;ahukaran
ahucharás;ahukaras
ahucharé;ahukare
ahuchaí;ahukai
ahuchaía;ahukaia
ahuchaíamos;ahukaiamos
ahuchaían;ahukaian
ahuchaías;ahukaias
ahucheaieron;ahuseaieron
ahucheaimos;ahuseaimos
ahucheaiste;ahuseaiste
ahucheaió;ahuseaio
ahuchearemos;ahusearemos
ahucheará;ahuseara
ahuchearán;ahusearan
ahuchearás;ahusearas
ahuchearé;ahuseare
ahucheaí;ahuseai
ahucheaía;ahuseaia
ahucheaíamos;ahuseaiamos
ahucheaían;ahuseaian
ahucheaías;ahuseaias
ahuecaieron;auekaieron
ahuecaimos;auekaimos
ahuecaiste;auekaiste
ahuecaió;auekaio
ahuecaremos;auekaremos
ahuecará;auekara
ahuecarán;auekaran
ahuecarás;auekaras
ahuecaré;auekare
ahuecaí;auekai
ahuecaía;auekaia
ahuecaíamos;auekaiamos
ahuecaían;auekaian
ahuecaías;auekaias
ahumaieron;aumaieron
ahumaimos;aumaimos
ahumaiste;aumaiste
ahumaió;aumaio
ahumaremos;aumaremos
ahumará;aumara
ahumarán;aumaran
ahumarás;aumaras
ahumaré;aumare
ahumaí;aumai
ahumaía;aumaia
ahumaíamos;aumaiamos
ahumaían;aumaian
ahumaías;aumaias
ahusaieron;ausaieron
ahusaimos;ausaimos
ahusaiste;ausaiste
ahusaió;ausaio
ahusaremos;ausaremos
ahusará;ausara
ahusarán;ausaran
ahusarás;ausaras
ahusaré;ausare
ahusaí;ausai
ahusaía;ausaia
ahusaíamos;ausaiamos
ahusaían;ausaian
ahusaías;ausaias
ahí;ayi
airaieron;airaieron
airaimos;airaimos
airaiste;airaiste
airaió;airaio
airaremos;airaremos
airará;airara
airarán;airaran
airarás;airaras
airaré;airare
airaí;airai
airaía;airaia
airaíamos;airaiamos
airaían;airaian
airaías;airaias
aire;ayre
aislaieron;aislaieron
aislaimos;aislaimos
aislaiste;aislaiste
aislaió;aislaio
aislaremos;aislaremos
aislará;aislara
aislarán;aislaran
aislarás;aislaras
aislaré;aislare
aislaí;aislai
aislaía;aislaia
aislaíamos;aislaiamos
aislaían;aislaian
aislaías;aislaias
ajuar;ashugar
al;al
alambicaieron;alambikaieron
alambicaimos;alambikaimos
alambicaiste;alambikaiste
alambicaió;alambikaio
alambicaremos;alambikaremos
