he;e
haya;ayga
hayamos;aygamos
hayáis;aygash
hayan;aygan
hubiera;uvyera
hubiese;uvyera
hubieras;uvyeras
hubieses;uvyeras
hubiéramos;uvyeramos
hubiésemos;uvyeramos
hubierais;uvyerash
hubieseis;uvyerash
hubieran;uvyeran
hubieses;uvyeran
dar;dar
doy;do
das;das
da;da
damos;damos
dais;dash
dan;dan
daba;dava
dabas;davas
daba;dava
dábamos;davamos
dabaís;davash
daban;davan
di;di
diste;dates
dio;dyo
dimos;dimos
disteis;datesh
dieron;dyeron
daré;va dar
darás;vas a dar
dará;va a dar
daremos;vamos a dar
daréis;vash a dar
darán;van a dar
daría;daria
darías;darias
daría;daria
daríamos;dariamos
daríais;dariash
darían;darian
dando;dando
dado;di/dates/dyo/dimos/datesh/dyeron/dado
dé;de
des;des
dé;de
demos;demos
deis;desh
den;den
diera;dyera
diese;dyera
dieras;dyeras
dieses;dyeras
diera;dyera
diese;dyera
diéramos;dyeramos
diésemos;dyeramos
dierais;dyerash
dieseis;dyerash
dieran;dyeran
diesen;dyeran
estar;estar
estoy;esto
estás;estas
está;esta
estamos;estamos
estáis;estash
están;estan
estaba;estava
estabas;estavas
estábamos;estavamos
estabais;estavash
estaban;estavan
estuve;estuve
estuviste;estuvites
estuvo;estuvo
estuvimos;estuvimos
estuvisteis;estuvitesh
estuvieron;estuvyeron
estaré;va estar
estarás;vas a estar 
estará;va a estar
estaremos;vamos a estar
estaréis;vash a estar
estarán;van a estar
estaría;estaria
estarías;estarias
estaría;estaria
estaríamos;estariamos
estaríais;estariash
estarían;estarian
estando;estando
estado;estuve/estuvites/estuvo/estuvimos/estuvitesh/estuvyeron/estado
esté;este
estés;estes
esté;este
estemos;estemos
estéis;estesh
estén;esten
estuviera;estuvyera
estuviese;estuvyera
estuvieras;estuvyeras
estuvieses;estuvyeras
estuviera;estuvyera
estuviese;estuvyera
estuviéramos;estuvyeramos
estuviésemos;estuvyeramos
estuvierais;estuvyerash
estuvieseis;estuvyerash
estuvieran;estuvyeran
estuviesen;estuvyeran
haber;aver
hay;ay
había;avia
hubo;uvo
habra;avra
habras;avras
habrá;avra
habría;avria
hacer;azer
hago;ago
haces;azes
hace;aze
hacemos;azemos
hacéis;azesh
hacen;azen
hacía;azia
hacías;azias
hacía;azia
hacíamos;aziamos
hacíais;aziash
hacían;azian
hice;ize
hiciste;izites
hizo;izo
hicimos;izimos
hicisteis;izitesh
hicieron;izyeron
haré;va hacer
harás;vas a hacer
hará;va a hacer
haremos;vamos a hacer
haréis;vash a hacer
harán;van a hacer
haría;azeria
harías;azerias
haría;areria
haríamos;azeriamos
haríais;azeriash
harían;azerian
haciendo;aziendo
hecho;ize/izites/izo/izimos/izitesh/izyeron/echo
haga;aga
hagas;agas
haga;aga
hagamos;agamos
hagáis;agash
hagan;agan
hiciera;izyera
hiciese;izyera
hicieras;izyeras
hicieses;izyeras
hiciera;izyera
hiciese;izyera
hiciéramos;izyeramos
hiciésemos;izyeramos
hicierais;izyerash
hicieseis;izyerash
hicieran;izyeran
hicieses;izyeran
deber;dever
debo;devo
debes;deves
debe;deve
debemos;devemos
debéis;devesh
deben;deven
debía;devia
debías;devias
debía;devias
debíamos;deviamos
debíais;deviash
debían;devian
debí;devi
debiste;devites
debió;devyo
debimos;devimos
debisteis;devitesh
debieron;devyeron
deberé;va dever
deberás;vas a dever
deberá;va a dever  
deberemos;vamos a dever
deberéis;vash a dever
deberán;van a dever
debería;devria
deberías;dvrias
debería;devria
deberíamos;devamos
deberíais;devash
deberían;devan
debiendo;devyendo
debido;devi/devites/devyo/devimos/devitesh/devyeron/devido
deba;deva
debas;devas
deba;deva
debamos;devamos
debáis;devash
deban;devan
debiera;devyera
debiese;devyera
debieras;devyeras
debieses;devyeras
debiéramos;devyeramos
debiésemos;devyeramos
debierais;devyerash
debieseis;devyerash
debieran;devyeran
debiesen;devyeran
querer;kerer
quiero;kero
quieres;keres
quiere;kere
queremos;keremos
queréis;keresh
quieren;keren
quería;keria
querías;kerias
quería;keria
queríamos;keriamos
queríais;keriash
querían;kerian
quise;kije
quisiste;kijiste
quiso;kijo
quisimos;kijimos
quisisteis;kijitesh
quisieron;kijeron
querré;va kerer
querrás;vas a kerer
querrá;va a kerer
querremos;vamos a kerer
querréis;vash a kerer
querrán;van a kerer
querría;kereria
querrías;kererias
querría;kereria
querríamos;kereriamos
querríais;kereriash
querrían;kererian
queriendo;keryendo
querido;kije/kijiste/kijo/kijimos/kijitesh/kijeron/kerido
quiera;kera
quieras;keras
queremos;keremos
queráis;kerash
quieran;keran
quisiera;kijera
quisiese;kijera
quisieras;kijeras
quisieses;kijeras
quisiéramos;kijeramos
quisiésemos;kijeramos
quisierais;kijerash
quisieseis;kijerash
quisieran;kijeran
quisiesen;kijeran
saber;saver
sé;se
sabes;saves
sabe;save
sabemos;savemos
sabéis;savesh
saben;saven
sabía;savia
sabías;savias
sabía;savia
sabíamos;saviamos
sabíais;saviash
sabían;savian
supe;supe
supiste;supite
supo;supo
supimos;supimos
supisteis;supitesh
supieron;supyeron
sabré;va saver
sabrás;vas a saver
sabrá;va a saver
sabremos;vamos a saver
sabréis;vash a saver
sabrán;van a saver
sabría;savria
sabrías;savrias
sabría;savria
sabríamos;savriamos
sabríais;savriash
sabrían;savrian
sabiendo;savyendo
sabido;supe/supiste/supo/supimos/supitesh/supyeron/savido
sepa;sepa
sepas;sepas
sepamos;sepamos
sepáis;sepash
sepan;sepan
supiera;supyera
supiese;supyera
supieras;supyeras
supieses;supyeras
supiéramos;supyeramos
supiésemos;supyeramos
supierais;supyerash
supieseis;supyerash
supieran;supyeran
supiesen;supyeran
ser;ser
está;esta
soy;so
eres;sos
es;es
somos;semos
sois;sosh
son;son
era;era
eras;eras
éramos;eramos
erais;erash
eran;eran
fui;fui
fuiste;fuistes
fue;fue
fuimos;fuimos
fuisteis;fuitesh
fueron;fueron
seré;va ser
serás;vas a ser
será;va a ser
seremos;vamos a ser
seréis;vash a ser
serán;van a ser
sería;seria
serías;serias
sería;seria
seríamos;seriamos
seríais;seriash
serían;serian
siendo;syendo
sido;fui/fuistes/fue/fuimos/fuitesh/fueron/sido
sea;sea
seas;seas
seamos;seamos
seáis;seash
sean;sean
fuera;fuera
fuese;fuera
fueras;fueras
fueses;fueras
fuéramos;fueramos
fuésemos;fueramos
fuerais;fuerash
fueseis;fuerash
fueran;fueran
fuesen;fueran
tener;tener
tengo;tengo
tienes;tyenes
tiene;tyene
tenemos;tenemos
tenéis;tenesh
tienen;tyenen
tenía;tenia
tenías;tenias
tenía;tenia
teníamos;teniamos
teníais;teniash
tenían;tenian
tuve;tuve
tuviste;tuvites
tuvo;tuvo
tuvimos;tuvimos
tuvisteis;tuvitesh
tuvieron;tuvyeron
tendré;va tener
tendrás;vas a tener
tendrá;va a tener
tendremos;vamos a tener
tendréis;vash a tener
tendrán;van a tener
tendría;tendria
tendrías;tendrias
tendría;tendria
tendríamos;tendriamos
tendríais;tendriash
tendría;tendrian
teniendo;tenyendo
tenido;tuve/tuvites/tuvo/tuvimos/tuvitesh/tuvyeron/tenido
tenga;tenga
tengas;tengas
tengamos;tengamos
tengáis;tengash
tengan;tengan
tuviera;tuvyera
tuviese;tuvyera
tuvieras;tuvyeras
tuvieses;tuvyeras
tuviéramos;tuvyeramos
tuviésemos;tuvyeramos
tuvierais;tuvyerash
tuvieseis;tuvyerash
tuvieran;tuvyeran
tuviesen;tuvyeran
ver;ver
veo;veo
ves;ves
ve;ve
vemos;vemos
veis;vesh
ven;ven
veía;via
veías;vias
veía;via
veíamos;viamos
veíais;viash
veían;vian
vi;vi
viste;vites
vio;vido
vimos;vimos
visteis;vitesh
vieron;vyeron
veré;va ver
verás;vas a ver
verá;va a ver
veremos;vamos a ver
veréis;vash a ver
verán;van a  ver
vería;veria
verías;verias
vería;veria
veríamos;veriamos
veríais;veriash
verían;verian
viendo;vyendo
visto;vi/vide/vites/vido/vimos/vitesh/vyeron/visto
vea;veyga
veas;veygas
veamos;veygamos
veáis;veygash
vean;veygan
viera;vyera
viese;vyera
vieras;vyeras
vieses;vyeras
viéramos;vyeramos
viésemos;vyeramos
vierais;vyerash
vieseis;vyerash
vieran;vyeran
viesen;vyeran
decir;dizir
decido;desido
digo;digo
dices;dizes
dice;dize
decimos;dizimos
decís;dizish
dicen;dizen
decía;dizia
decías;dizias
decía;dizia
decíamos;diziamos
decíais;diziash
decían;dizian
dije;dishe
dijiste;dishites
dijo;disho
dijimos;dishimos
dijisteis;dishitesh
dijeron;disheron
diré;va dizir
dirás;vas a dizir
dirá;va a dizir
diremos;vamos a dizir
diréis;vash a dizir
dirán;van a dizir
diría;diria
dirías;dirias
diría;diria
diríamos;diriamos
diríais;diriash
dirían;dirian
diciendo;dizyendo
dicho;dizi/dishites/disho/dishimos/dishitesh/disheron/dicho
diga;diga
digas;digas
digamos;digamos
digáis;digash
digan;digan
dijera;dishera
dijese;dishera
dijeras;disheras
dijeses;disheras
dijéramos;disheramos
dijésemos;disheramos
dijerais;disherash
dijeseis;disherash
dijeran;disheran
dijesen;disheran
ir;ir
voy;vo
vas;vas
va;va
vamos;vamos
vais;vash
van;van
iba;iva
ibas;ivas
iba;iva
ibamos;ivamos
ibais;ivash
iban;ivan
fui;fui
fuiste;fuites
fuera;fue
fuimos;fuimos
fuisteis;fuitesh
fueron;fueron
iré;va ir
irás;vas a ir
irá;va a ir
iremos;vamos a ir
iréis;vash a ir
irán;van a ir
iría;iria
irías;irias
iría;iria
iríamos;iriamos
iríais;iriash
irían;irian
yendo;indo
ido;fui/fuites/fue/fuimos/fuitesh/fueron/ido
vaya;vayga
vayas;vaygas
vayamos;vaygamos
vayáis;vaygash
vayan;vaygan
venir;vinir
vengo;vengo
vienes;vyenes
viene;vyene
venimos;vinimos
venís;vinish
vienen;vyenen
venía;venia
venías;venias
veníamos;veniamos
veníais;veniash
venían;venian
vine;vine
viniste;vinites
vino;vino
vinimos;vinimos
vinisteis;vinitesh
vinieron;vinyeron
vendré;va vinir
vendrás;vas a vinir 
vendrá;va a venir
vendremos;vamos a venir
vendréis;vash a venir
vendrán;van a venir
vendría;vendria
vendrías;vendrias
vendríamos;vendriamos
vendríais;vendrash
viniendo;vinyendo
venido;vini/vinites/vino/vinimos/vinitesh/vinyeron/vinido
vengan;venga
vengas;vengas
vengamos;vengamos
vengáis;vengash
vengan;vengan
viniera;vinyera
viniese;vinyera
vinieras;vinyeras
vinieses;vinyeras
viniéramos;vinyeramos
viniésemos;vinyeramos
vinierais;vinyerash
vinieseis;vinyerash
vinieran;vinyeran
viniesen;vinyeran
compras;merkaras
supongo;supozo
propone;propoze
pierde;pedra
agradezco;agradesko
estudie;estudye
comamos;komamos
venid;vení
leendo;meldando
convidada;kombidada
estudiado;estudyado
miráis;mirash
oís;oyish
creendo;kreyendo
he;e
has;as
ha;a
han;an
hemos;emos
habeis;avesh
mentir;mintir
mentire;mintire
abalanzar;ekilibrar
abarcar;abrasar
abordar;abodrar
abrazar;abrasar
abrir;avrir
abrochar;abrokar
aburrir;enfasyar
acabar;akabar
acampar;akampar
reconocer;rekonoser
acariciar;akarisiar
acceder;acseder
acelerar;aselerar
acentuar;aksantuar
aceptar;aseptar
acercar;aserkar
acomodar;akomodar
acompanar;akompanyar
aconsejar;akonsejar
acoplar;akoplar
acordar;akordar
acortar;akortar
acosar;akosar
acostumbrar;akostumbrar
acreditar;akreditar
activar;aktivar
actuar;aktuar
acudir;akudir
acusar;akusar
admitir;akseptar
advertir;avertir
afectar;afektar
afilar;aguzar
afligir;aflijar
agitar;adjitar
agobiar;oprimir
agradecer;agradeser
aguantar;agantar
aguardar;agadrar
ahorcar;pender
ahorrar;ekonomizar
ajuar;ashugar
alcanzar;alkansar
alejar;aleshar
aligerar;alidjerar
alinar;alinyar
almacenar;almasenar
almorzar;komer
almibar;komposto
alquilar;alkilar
amanecer;amaneser
andar;irse
anhelar;anelar
animar;enkorajar
anteayer;antiyer
anticipar;antisipar
anunciar;anunsiar
apagar;amatar
aparecer;apareser
apostillar;notar
apoyar;arrimar
apreciar;apresiar
aprender;ambezar
aprobar;reushir
aprovechar;profitar
aranar;aranyar
arder;adrer
arrestar;arestar
arrojar;echar
asesinar;asasinar
asociar;asosiar
asustar;espantar
atacar;atakar
atender;asistir
atrasar;atrazar
atravesar;traversar
aturdir;atudrir
augurar;ogurar
autocar;otobus
avanzar;avansar
averiar;aharientar
azorar;aturvar
anadir;anyadir
anorar;anyorar
bailar;baylar
bajar;abashar
balancear;balansear
balbucear;tartalear
banar;benyar
beber;bever
bendecir;bendizirs
beneficiar;benefisiar
besar;bezar
bloquear;blokear
bordar;bodrar
bramar;gritar
brillar;briyar
broncear;bronsear
bucear;busear
buscar;bushkar
caber;kaver
caer;kayer
calcular;kalkular
caldear;kaldear
calificar;kalifikar
callar;kayar
calmar;kalmar
cambiar;trokar
caminar;kaminar
cancelar;kanselar
candar;kandar
cansar;kansar
cantar;kantar
capitular;kapitular
capturar;kapturar
cargar;kargar
caracter;karakter
casar;kazar
catar;degustar
causar;kausar
cautivar;kautivar
cavar;kavar
cazar;kasar
ceder;seder
celebrar;selebrar
cenar;komer
censurar;sensurar
centrar;sentrar
cepillar;sepiyar
cerrar;serrar
cesar;sesar
charlar;karlar
chatear;katear
chillar;echar chiyo
chocar;chaptear
chupar;kupar
cifrar;sifrar
circular;zirkular
citar;sitar
cobrar;kobrar
cocinar;gizar
coincidir;koinsidir
colaborar;kolaborar
coleccionar;kolecsionar
colgar;enkolgar
colorear;kolorear
combatir;kombatir
combinar;kombinar
comentar;komentar
comer;komer
comerciar;komersiar
cometer;kometer
comparar;komparar
compartir;kompartir
compensar;kompensar
compilar;kompilar
completar;kompletar
comportar;komportar
comprar;merkar
comprender;entender
comprimir;komprimir
comprometer;komprometer
comunicar;komunikar
conceder;konseder
concentrar;konsentrar
condenar;kondenar
condicionar;kondisionar
conducir;konduzir
conectar;konektar
confiar;konfiar
configurar;konfigrar
confirmar;konfirmar
confundir;konfundir
congelar;kondjelar
conjeturar;konjeturar
conocer;konoser
conquistar;konkistar
consentir;konsentir
conservar;konservar
considerar;konsiderar
consistir;konsistir
consolar;konsolar
consolidar;konsolidar
constatar;konstatar
construir;fraguar
consultar;konsultar
consumir;konsumir
contactar;kontaktar
contaminar;kontaminar
contar;kontar
contemplar;kontemplar
contener;kontener
contentar;kontentar
contestar;replikar
continuar;kontinuar
contratar;kontratar
controlar;kontrolar
convencer;konvenser
conversar;konversar
convidar;combidar
convivir;konvivir
cooperar;kooperar
coordinar;koodrinar
copiar;kopiar
coquetear;koketear
coronar;koronar
corregir;korijar
correr;korrer
corresponder;korresponder
corroborar;konfirmar
corromper;korromper
cortar;kortar
cosechar;kosekar
coser;koser
costar;kostar
crear;krear
crecer;kreser
creer;kreer
crujir;krujir
cruzar;pasar enfrente
cuajar;kuajar
cualquier;kualkier
cubrir;kubrir
cuidar;kuidar
culpar;kulpar
cultivar;kultivar
cumplir;kumplir
curar;kurar
danar;danyar
deceder;murir
decepcionar;desepsionar
decidir;desidir
decorar;dekorar
degustar;degstar
dejar;deshar
desaconsejar;desakonsejar
desanimar;deskorajar
desarrollar;desarroyar
desayunar;dezayunar
descansar;deskansar
descarrilar;deskarrilar
desconectar;deskonektar
descongelar;deskondjelar
describir;deskrivir
descubrir;deskuvrir
desear;dezeyar
despachar;espedir
despejar;aklarar
despertar;espertar
despenar;echar kon fuersa
detectar;detektar
dictar;diktar
diferenciar;diferensyar
discriminar;diskriminar
disculpar;eskuzar
discutir;diskutir
disenar;disenyar
disfrutar;gozar
disparar;tirar
disponer;dispozar
divorciar;divorsiar
dormir;durmir
ejecutar;ejekutar
ejemplar;egzemplar
ejercitar;ejersitar
elegir;elijir
emancipar;emansipar
embargar;apanyar
embestir;asaltar
embrollar;embroyar
empezar;empesar
empenar;empenyar
empujar;arrondjar
encajar;enkajar
encantar;enkantar
encender;asender
enchufar;enkufar
encontrar;topar
encuestar;enkuestar
enfocar;enfohar
enganchar;engankar
enganar;enganyar
engendrar;enjendrar
engordar;engodrar
enhebrar;enebrar
enloquecer;enlokeser
ensanchar;ensankar
ensenar;ensenyar
ensuciar;ensuziar
entranar;entranyar
entretener;azer pasar el tiempo
enviar;embiar
escalar;eskalar
escaldar;eskaldar
escalonar;eskalonar
escapar;eskapar
escoger;eskojer
esconder;eskonder
escribir;eskrivir
escuchar;oyir
escupir;eskupir
esgrimir;menear
especular;espekular
esperar;asperar
establecer;estableser
estacionar;estasionar
estallar;estayar
estofar;eskaldar
evidenciar;averdadear
evolucionar;evolusionar
exagerar;eksadjerar
examinar;eksaminar
excavar;ekskavar
excitar;ekssitar
exclamar;eksclamar
excusar;ekskusar
exhalar;eksalar
exhibir;eksibir
exiliar;eksziliar
existir;egzistir
expandir;espandir
experimentar;eksperimentar
expirar;murir
explicar;eksplika
explorar;eksplorar
explotar;eksplotar
exponer;ekspozar
exportar;eksportar
expresar;ekspresar
exprimir;eksprimir
expulsar;ekspulsar
extranar;ekstranyar
facilitar;fasilitar
facturar;fakturar
fallar;fayar
fallecer;murir
faltar;mankar
fascinar;fassinar
felicitar;felisitar
figurar;figrar
financiar;finansiar
fracasar;frakasar
